# Romanized Hindi → Hindi spelling map.
#
# How people actually type Hindi in Latin letters, and what they mean by it.
# Two kinds of spelling are here, and neither is reachable from the phonetic
# rules:
#
#  - Words the rules get wrong because Latin spelling does not carry the
#    difference: dental against retroflex ("theek" is ठीक, not थीक), a long
#    vowel nobody doubles ("pani" is पानी), nasalisation nobody writes
#    ("nahi" is नहीं, "hai" / "hain").
#  - Chat shorthand that drops letters wholesale: "h" for है, "nhi" for नहीं,
#    "kr" for कर, "bhut" for बहुत.
#
# This list matters more than its Bengali twin: Hindi ships no bundled word
# list, so until the user downloads one these lines are all the vocabulary the
# Hindi phonetic layout has. It is a hand-written draft of the commonest few
# hundred words and wants a Hindi speaker's review (issue #239).
#
# Format: spelling<TAB>hindi   (one mapping per line; # starts a comment)
# A spelling may repeat to offer several forms, most-preferred first.
# Loaded after en_hi.tsv, so the hand-written loanword spellings win a tie.

# --- to be, to have, auxiliaries ---
h	है
hai	है
he	है
hain	हैं
hai	हैं
hn	हैं
hu	हूँ
hun	हूँ
hoon	हूँ
hoo	हूँ
ho	हो
tha	था
thi	थी
the	थे
thin	थीं
hoga	होगा
hogi	होगी
honge	होंगे
hota	होता
hoti	होती
hote	होते
hua	हुआ
hui	हुई
hue	हुए
huye	हुए

# --- pronouns ---
main	मैं
mai	मैं
mein	में
me	में
me	मैं
m	में
mujhe	मुझे
mujhko	मुझको
mujhse	मुझसे
mera	मेरा
meri	मेरी
mere	मेरे
hum	हम
ham	हम
hume	हमें
humein	हमें
hamein	हमें
hamen	हमें
humko	हमको
hamara	हमारा
humara	हमारा
hamari	हमारी
humari	हमारी
hamare	हमारे
humare	हमारे
tu	तू
tum	तुम
tm	तुम
tumhe	तुम्हें
tumhein	तुम्हें
tumko	तुमको
tumhara	तुम्हारा
tumhari	तुम्हारी
tumhare	तुम्हारे
tera	तेरा
teri	तेरी
tere	तेरे
tujhe	तुझे
aap	आप
ap	आप
aapka	आपका
apka	आपका
aapki	आपकी
apki	आपकी
aapke	आपके
apke	आपके
aapko	आपको
apko	आपको
ye	ये
yeh	यह
yah	यह
wo	वो
vo	वो
woh	वह
voh	वह
is	इस
us	उस
in	इन
un	उन
iska	इसका
uska	उसका
iski	इसकी
uski	उसकी
iske	इसके
uske	उसके
isko	इसको
usko	उसको
ise	इसे
use	उसे
unka	उनका
unki	उनकी
unke	उनके
unko	उनको
unhe	उन्हें
unhen	उन्हें
inhe	इन्हें
unhone	उन्होंने
inhone	इन्होंने
apna	अपना
apni	अपनी
apne	अपने
khud	खुद
sab	सब
sabhi	सभी
koi	कोई
kuch	कुछ
kuchh	कुछ
kch	कुछ
kisi	किसी
kaun	कौन
kon	कौन
kya	क्या
kia	क्या
ky	क्या
kyu	क्यों
kyun	क्यों
kyon	क्यों
kyo	क्यों
kaise	कैसे
kese	कैसे
kaisa	कैसा
kaisi	कैसी
kahan	कहाँ
kaha	कहाँ
kaha	कहा
kab	कब
kitna	कितना
kitni	कितनी
kitne	कितने
jo	जो
jab	जब
tab	तब
jaise	जैसे
jese	जैसे
waise	वैसे
vaise	वैसे
aise	ऐसे
ese	ऐसे
aisa	ऐसा
aisi	ऐसी
yahan	यहाँ
yaha	यहाँ
wahan	वहाँ
waha	वहाँ
vahan	वहाँ
idhar	इधर
udhar	उधर

# --- postpositions, conjunctions, particles ---
ka	का
ki	की
ki	कि
ke	के
k	के
ko	को
se	से
par	पर
pr	पर
pe	पे
tak	तक
ne	ने
liye	लिए
lie	लिए
liye	लिये
sath	साथ
saath	साथ
bad	बाद
baad	बाद
pehle	पहले
pahle	पहले
phle	पहले
andar	अंदर
bahar	बाहर
upar	ऊपर
niche	नीचे
neeche	नीचे
pas	पास
paas	पास
aur	और
or	और
ya	या
lekin	लेकिन
par	पर
magar	मगर
agar	अगर
to	तो
toh	तो
bhi	भी
b	भी
hi	ही
na	ना
na	न
nahi	नहीं
nahin	नहीं
nhi	नहीं
nai	नहीं
ni	नहीं
mat	मत
haan	हाँ
han	हाँ
ha	हाँ
hn	हाँ
ji	जी
kyunki	क्योंकि
kyuki	क्योंकि
kyonki	क्योंकि
isliye	इसलिए
islie	इसलिए
phir	फिर
fir	फिर
ab	अब
