de	的	1000
yi	一	999
shi	是	998
le	了	997
wo	我	996
bu	不	995
ren	人	994
zai	在	993
ta	他	992
you	有	991
zhe	这	990
ge	个	989
shang	上	988
men	们	987
lai	来	986
dao	到	985
shi	时	984
da	大	983
di	地	982
wei	为	981
zi	子	980
zhong	中	979
ni	你	978
shuo	说	977
sheng	生	976
guo	国	975
nian	年	974
zhe	着	973
jiu	就	972
na	那	971
he	和	970
yao	要	969
ta	她	968
chu	出	967
ye	也	966
de	得	965
li	里	964
hou	后	963
zi	自	962
yi	以	961
hui	会	960
jia	家	959
ke	可	958
xia	下	957
er	而	956
guo	过	955
tian	天	954
qu	去	953
neng	能	952
dui	对	951
xiao	小	950
duo	多	949
ran	然	948
yu	于	947
xin	心	946
xue	学	945
me	么	944
zhi	之	943
dou	都	942
hao	好	941
kan	看	940
qi	起	939
fa	发	938
dang	当	937
mei	没	936
cheng	成	935
zhi	只	934
ru	如	933
shi	事	932
ba	把	931
hai	还	930
yong	用	929
di	第	928
yang	样	927
dao	道	926
xiang	想	925
zuo	作	924
zhong	种	923
kai	开	922
mei	美	921
zong	总	920
cong	从	919
wu	无	918
qing	情	917
ji	己	916
mian	面	915
zui	最	914
nv	女	913
dan	但	912
xian	现	911
qian	前	910
xie	些	909
suo	所	908
tong	同	907
ri	日	906
shou	手	905
you	又	904
xing	行	903
yi	意	902
dong	动	901
fang	方	900
qi	期	899
ta	它	898
tou	头	897
jing	经	896
chang	长	895
er	儿	894
hui	回	893
wei	位	892
fen	分	891
ai	爱	890
lao	老	889
yin	因	888
hen	很	887
gei	给	886
ming	名	885
fa	法	884
jian	间	883
si	斯	882
zhi	知	881
shi	世	880
shen	什	879
liang	两	878
ci	次	877
shi	使	876
shen	身	875
zhe	者	874
bei	被	873
gao	高	872
yi	已	871
qin	亲	870
qi	其	869
jin	进	868
ci	此	867
hua	话	866
chang	常	865
yu	与	864
huo	活	863
zheng	正	862
gan	感	861
jian	见	860
ming	明	859
wen	问	858
li	力	857
li	理	856
er	尔	855
dian	点	854
wen	文	853
ji	几	852
ding	定	851
ben	本	850
gong	公	849
te	特	848
zuo	做	847
wai	外	846
hai	孩	845
xiang	相	844
xi	西	843
guo	果	842
zou	走	841
jiang	将	840
yue	月	839
shi	十	838
shi	实	837
xiang	向	836
sheng	声	835
che	车	834
quan	全	833
xin	信	832
zhong	重	831
san	三	830
ji	机	829
gong	工	828
wu	物	827
qi	气	826
mei	每	825
bing	并	824
bie	别	823
zhen	真	822
da	打	821
tai	太	820
xin	新	819
bi	比	818
cai	才	817
bian	便	816
fu	夫	815
zai	再	814
shu	书	813
bu	部	812
shui	水	811
xiang	像	810
yan	眼	809
deng	等	808
ti	体	807
que	却	806
jia	加	805
dian	电	804
zhu	主	803
jie	界	802
men	门	801
li	利	800
hai	海	799
shou	受	798
ting	听	797
biao	表	796
de	德	795
shao	少	794
ke	克	793
dai	代	792
yuan	员	791
xu	许	790
xian	先	789
kou	口	788
you	由	787
si	死	786
an	安	785
xie	写	784
xing	性	783
ma	马	782
guang	光	781
bai	白	780
huo	或	779
zhu	住	778
nan	难	777
wang	望	776
jiao	教	775
ming	命	774
hua	花	773
jie	结	772
le	乐	771
se	色	770
geng	更	769
la	拉	768
dong	东	767
shen	神	766
ji	记	765
chu	处	764
rang	让	763
mu	母	762
fu	父	761
ying	应	760
zhi	直	759
zi	字	758
chang	场	757
ping	平	756
bao	报	755
you	友	754
guan	关	753
fang	放	752
zhi	至	751
zhang	张	750
ren	认	749
jie	接	748
gao	告	747
ru	入	746
xiao	笑	745
nei	内	744
ying	英	743
jun	军	742
hou	候	741
min	民	740
sui	岁	739
wang	往	738
he	何	737
du	度	736
shan	山	735
jue	觉	734
lu	路	733
dai	带	732
wan	万	731
nan	男	730
bian	边	729
feng	风	728
jie	解	727
jiao	叫	726
ren	任	725
jin	金	724
kuai	快	723
yuan	原	722
chi	吃	721
ma	妈	720
bian	变	719
tong	通	718
shi	师	717
li	立	716
xiang	象	715
shu	数	714
si	四	713
shi	失	712
man	满	711
zhan	战	710
yuan	远	709
ge	格	708
shi	士	707
yin	音	706
qing	轻	705
mu	目	704
tiao	条	703
ne	呢	702
bing	病	701
shi	始	700
da	达	699
shen	深	698
wan	完	697
jin	今	696
ti	提	695
qiu	求	694
qing	清	693
wang	王	692
hua	化	691
kong	空	690
ye	业	689
si	思	688
qie	切	687
zen	怎	686
fei	非	685
zhao	找	684
pian	片	683
luo	罗	682
qian	钱	681
ma	吗	680
yu	语	679
yuan	元	678
xi	喜	677
ceng	曾	676
li	离	675
fei	飞	674
ke	科	673
yan	言	672
gan	干	671
liu	流	670
huan	欢	669
yue	约	668
ge	各	667
ji	即	666
zhi	指	665
he	合	664
fan	反	663
ti	题	662
bi	必	661
gai	该	660
lun	论	659
jiao	交	658
zhong	终	657
lin	林	656
qing	请	655
yi	医	654
wan	晚	653
zhi	制	652
qiu	球	651
jue	决	650
chuan	传	649
hua	画	648
bao	保	647
du	读	646
yun	运	645
ji	及	644
ze	则	643
fang	房	642
zao	早	641
yuan	院	640
liang	量	639
ku	苦	638
huo	火	637
bu	布	636
pin	品	635
jin	近	634
zuo	坐	633
chan	产	632
da	答	631
xing	星	630
jing	精	629
shi	视	628
wu	五	627
lian	连	626
si	司	625
ba	巴	624
qi	奇	623
guan	管	622
lei	类	621
wei	未	620
peng	朋	619
qie	且	618
hun	婚	617
tai	台	616
ye	夜	615
qing	青	614
bei	北	613
dui	队	612
jiu	久	611
hu	乎	610
yue	越	609
guan	观	608
luo	落	607
jin	尽	606
xing	形	605
ying	影	604
hong	红	603
ba	爸	602
bai	百	601
ling	令	600
zhou	周	599
ba	吧	598
shi	识	597
bu	步	596
xi	希	595
ya	亚	594
shu	术	593
liu	留	592
shi	市	591
ban	半	590
re	热	589
song	送	588
xing	兴	587
zao	造	586
tan	谈	585
rong	容	584
ji	极	583
sui	随	582
yan	演	581
shou	收	580
shou	首	579
gen	根	578
jiang	讲	577
zheng	整	576
shi	式	575
qu	取	574
zhao	照	573
ban	办	572
qiang	强	571
shi	石	570
gu	古	569
hua	华	568
na	拿	567
ji	计	566
nin	您	565
zhuang	装	564
si	似	563
zu	足	562
shuang	双	561
qi	妻	560
ni	尼	559
zhuan	转	558
su	诉	557
mi	米	556
cheng	称	555
li	丽	554
ke	客	553
nan	南	552
ling	领	551
jie	节	550
yi	衣	549
ju	具	548
zhi	志	547
qi	器	546
leng	冷	545
cheng	城	544
mi	密	543
tu	图	542
yin	引	541
gu	顾	540
chen	沉	539
nong	弄	538
pai	排	537
zui	罪	536
ci	词	535
yang	阳	534
yang	洋	533
jia	假	532
zhen	阵	531
mai	卖	530
ju	剧	529
yao	药	528
yi	遗	527
lv	律	526
ceng	层	525
tao	讨	524
wan	玩	523
jie	阶	522
ya	呀	521
di	弟	520
e	恶	519
mao	冒	518
huang	皇	517
niang	娘	516
pai	拍	515
shun	顺	514
shu	舒	513
qiu	秋	512
kang	康	511
wen	稳	510
tie	铁	509
jie	街	508
jia	夹	507
quan	圈	506
bu	补	505
lang	郎	504
bian	遍	503
tian	田	502
ke	课	501
shen	甚	500
han	汉	499
yang	养	498
jian	坚	497
zhi	致	496
sha	杀	495
ju	局	494
jiu	救	493
chi	持	492
su	苏	491
you	右	490
tu	突	489
hua	划	488
jing	惊	487
dai	待	486
shou	守	485
an	案	484
jia	甲	483
you	油	482
bei	杯	481
jian	简	480
biao	标	479
zhong	钟	478
wei	微	477
shi	诗	476
ying	迎	475
jing	警	474
e	额	473
xia	夏	472
dai	呆	471
jing	静	470
lan	兰	469
zhe	折	468
gong	供	467
di	低	466
chu	除	465
yi	移	464
cha	察	463
shu	署	462
chong	充	461
an	按	460
sheng	胜	459
hu	胡	458
qi	汽	457
xiang	乡	456
zhen	镇	455
qun	群	454
ping	凭	453
miao	苗	452
ji	积	451
reng	仍	450
qiang	枪	449
mao	毛	448
rou	柔	447
hu	呼	446
qi	弃	445
ping	苹	444
duo	夺	443
xiong	胸	442
han	喊	441
kuang	狂	440
man	慢	439
han	汗	438
fang	仿	437
chun	纯	436
cheng	诚	435
xi	悉	434
wu	悟	433
cha	茶	432
xi	戏	431
huai	坏	430
fen	纷	429
lv	虑	428
tao	逃	427
bi	避	426
jiang	奖	425
luan	乱	424
you	邮	423
sen	森	422
tang	汤	421
xin	辛	420
jiu	旧	419
dan	旦	418
niu	牛	417
zhi	纸	416
zhu	诸	415
zhi	执	414
suo	索	413
dai	戴	412
xie	械	411
huan	唤	410
tan	坦	409
gou	沟	408
gua	挂	407
pu	铺	406
xu	序	405
xiang	项	404
yan	宴	403
xing	姓	402
qiao	巧	401
zhuo	桌	400
jian	剑	399
wei	卫	398
ji	既	397
nai	乃	396
wu	午	395
lang	朗	394
yang	杨	393
lao	劳	392
duo	朵	391
deng	灯	390
po	坡	389
ba	罢	388
guan	冠	387
fu	副	386
fang	坊	385
zu	祖	384
dong	洞	383
gao	稿	382
dou	斗	381
tan	坛	380
qiao	桥	379
du	杜	378
zhang	掌	377
gai	盖	376
run	润	375
pan	盘	374
zhu	逐	373
ying	硬	372
zheng	症	371
meng	蒙	370
hui	毁	369
na	纳	368
ken	肯	367
xiang	详	366
dao	盗	365
diao	掉	364
fan	翻	363
chao	炒	362
bao	薄	361
guan	罐	360
huan	缓	359
dan	淡	358
peng	碰	357
ba	坝	356
ru	乳	355
ao	熬	354
lian	莲	353
mang	茫	352
qian	牵	351
zhu	猪	350
jiao	郊	349
ren	仁	348
hui	慧	347
yong	勇	346
mo	默	345
tian	甜	344
zheng	蒸	343
fan	凡	342
guo	锅	341
chang	畅	340
zuo	昨	339
chen	晨	338
jie	届	337
jian	渐	336
cheng	呈	335
ji	籍	334
zi	姿	333
ju	拒	332
pian	偏	331
xie	携	330
quan	劝	329
chai	拆	328
feng	凤	327
guan	惯	326
xun	询	325
lang	浪	324
du	督	323
xiong	凶	322
lie	劣	321
kua	夸	320
feng	奉	319
zha	炸	318
zei	贼	317
kong	恐	316
zhu	祝	315
chu	储	314
pao	炮	313
zai	灾	312
sun	损	311
mo	魔	310
yi	翼	309
shi	拾	308
liang	辆	307
tao	桃	306
mie	灭	305
sui	碎	304
zou	奏	303
xun	迅	302
pin	拼	301
ru	辱	300
tong	铜	299
xian	仙	298
yan	炎	297
feng	锋	296
tiao	挑	295
shuai	帅	294
hui	惠	293
hui	挥	292
can	灿	291
shi	氏	290
dou	豆	289
hu	虎	288
le	勒	287
niu	纽	286
bai	柏	285
kun	昆	284
qia	恰	283
miao	妙	282
qian	乾	281
zong	宗	280
mu	慕	279
xue	穴	278
jiu	纠	277
ban	斑	276
tuo	拓	275
jie	劫	274
gua	瓜	273
dang	挡	272
yang	仰	271
ya	牙	270
chang	昌	269
meng	盟	268
jin	劲	267
guan	贯	266
chu	畜	265
weng	翁	264
fang	妨	263
qi	契	262
sang	桑	261
tang	糖	260
gou	勾	259
tong	桶	258
hen	恨	257
sheng	牲	256
huo	祸	255
mu	穆	254
mo	莫	253
jie	洁	252
xuan	悬	251
ba	拔	250
tuo	拖	249
ai	碍	248
ju	矩	247
lin	邻	246
gan	杆	245
fu	浮	244
gang	纲	243
mi	蜜	242
sha	莎	241
rui	锐	240
lu	炉	239
chuan	穿	238
yao	遥	237
nai	奈	236
huang	慌	235
cheng	澄	234
you	诱	233
hui	悔	232
chou	仇	231
sheng	剩	230
zhi	枝	229
rang	壤	228
jing	颈	227
qiong	穷	226
